	Phase	Circadian time Acrophase
NCU06786.7	2	14.133333333333333
NCU08946.7	2	14.133333333333333
NCU09115.7	10	22.666666666666664
NCU09710.7	0	12.0
NCU07129.7	10	22.666666666666664
NCU07363.7	12	0.8000000000000007
NCU00894.7	2	14.133333333333333
NCU00954.7	20	9.333333333333329
NCU02112.7	16	5.066666666666666
NCU02257.7	14	2.9333333333333336
NCU01140.7	0	12.0
NCU01981.7	18	7.199999999999999
NCU02269.7	12	0.8000000000000007
NCU02707.7	10	22.666666666666664
NCU02997.7	0	12.0
NCU04383.7	2	14.133333333333333
NCU05084.7	6	18.4
NCU07001.7	2	14.133333333333333
NCU07732.7	10	22.666666666666664
NCU03282.7	18	7.199999999999999
NCU06727.7	18	7.199999999999999
NCU09223.7	0	12.0
NCU09378.7	20	9.333333333333329
NCU16769.7	12	0.8000000000000007
NCU17114.7	2	14.133333333333333
NCU08475.7	10	22.666666666666664
NCU00838.7	22	11.466666666666669
NCU02815.7	4	16.266666666666666
NCU06057.7	20	9.333333333333329
NCU02601.7	0	12.0
NCU03542.7	16	5.066666666666666
NCU03870.7	4	16.266666666666666
NCU08677.7	4	16.266666666666666
NCU07958.7	10	22.666666666666664
NCU09848.7	4	16.266666666666666
NCU01101.7	8	20.53333333333333
NCU05360.7	18	7.199999999999999
NCU00372.7	16	5.066666666666666
NCU01948.7	16	5.066666666666666
NCU02450.7	4	16.266666666666666
NCU07075.7	4	16.266666666666666
NCU07361.7	14	2.9333333333333336
NCU00258.7	10	22.666666666666664
NCU00467.7	2	14.133333333333333
NCU00668.7	0	12.0
NCU01157.7	16	5.066666666666666
